2019

200.5, 0, 0
21.5, 0, 54
4.5, 0, 86
10, 2, 712
21, 2, 1948
6.5, 3, 1348
22, 3, 1918
148, 4, 4
19.5, 4, 788
20.5, 5, 126
19.5, 5, 286
47, 5, 630
10.5, 5, 1398
10, 5, 1406
22.5, 5, 1540
253.5, 6, 6
8.5, 6, 58
17, 6, 84
11.5, 6, 284
17, 6, 772
4.5, 6, 906
13, 7, 1128
3.5, 7, 1698
206.5, 8, 8
8.5, 8, 426
9, 8, 446
19, 8, 1046
25.5, 9, 272
4, 9, 324
21, 9, 634
20.5, 9, 698
16, 9, 1060
15, 9, 1374
8, 9, 1560
144, 10, 10
7, 10, 440
192, 12, 12
3.5, 12, 234
7.5, 12, 488
4, 12, 564
25.5, 12, 1064
17.5, 12, 1180
4, 13, 350
23.5, 13, 1880
190.5, 14, 14
9.5, 14, 88
24.5, 14, 582
7, 14, 1474
19, 14, 1936
12, 15, 1034
4, 15, 1478
3, 15, 1790
140.5, 16, 16
15, 16, 1906
10.5, 17, 1638
5, 17, 2016
171, 18, 18
21.5, 18, 576
24, 19, 1170
9.5, 19, 1282
156, 20, 20
15, 20, 948
10.5, 20, 1020
5, 20, 1222
130.5, 22, 22
10.5, 22, 190
15, 22, 254
20.5, 23, 44
9.5, 23, 218
9.5, 23, 394
15, 23, 424
18.5, 23, 978
14, 23, 1786
167, 24, 24
5.5, 24, 1236
3, 24, 1400
7, 24, 1952
24, 25, 644
24.5, 25, 712
3.5, 25, 724
12.5, 25, 1648
298.5, 26, 26
8, 26, 336
11.5, 26, 686
25.5, 26, 946
17, 26, 1522
22.5, 26, 1712
4.5, 26, 1806
25.5, 27, 286
4.5, 27, 454
14.5, 27, 974
125.5, 28, 28
24, 28, 1750
7.5, 29, 818
23.5, 30, 20
174.5, 30, 30
16, 30, 544
14, 30, 700
11.5, 30, 1776
3.5, 31, 512
19.5, 31, 584
23.5, 31, 906
10, 31, 1224
19, 31, 1278
131.5, 32, 32
19, 32, 338
12, 32, 2014
9, 33, 348
9, 33, 378
5, 33, 1472
19, 33, 1966
196.5, 34, 34
13.5, 34, 912
2.5, 34, 1116
15, 34, 1142
16.5, 34, 1626
23.5, 35, 1006
9, 35, 1276
23.5, 35, 1918
232.5, 36, 36
12.5, 36, 74
21.5, 36, 394
21, 36, 614
7, 36, 776
5, 36, 838
6.5, 36, 1014
18, 36, 1440
18, 36, 1634
4, 37, 78
12, 37, 448
9, 37, 644
12.5, 38, 0
215.5, 38, 38
15, 38, 54
12.5, 38, 128
16.5, 38, 620
24, 38, 1294
164.5, 40, 40
15, 40, 372
2, 40, 1554
17.5, 40, 1794
17, 41, 382
20.5, 41, 1784
246.5, 42, 42
21, 42, 1122
6, 42, 1432
24.5, 42, 1540
13.5, 42, 1714
8.5, 42, 1722
9.5, 42, 1902
16.5, 43, 180
6, 43, 1186
2.5, 43, 1730
14.5, 43, 1958
176.5, 44, 44
23.5, 44, 272
14, 44, 1240
22, 45, 66
12.5, 45, 930
15, 45, 1248
1, 45, 1342
19.5, 45, 1554
9.5, 45, 1738
165, 46, 46
9.5, 0, 124
5, 0, 948
21.5, 1, 298
3.5, 1, 1070
16.5, 1, 1458
181, 2, 2
23, 2, 446
9.5, 46, 404
7.5, 46, 424
19, 46, 758
9.5, 46, 1098
2.5, 46, 1188
2.5, 47, 386
23.5, 47, 1124
25, 47, 1142
16.5, 47, 1816
6.5, 47, 1900
24, 47, 1948
161.5, 48, 48
3, 48, 1448
13, 48, 1464
9.5, 48, 1644
8, 48, 1754
20, 49, 474
176, 50, 50
2, 50, 120
17.5, 50, 174
24.5, 50, 736
1, 50, 1270
9.5, 50, 1402
12.5, 51, 74
6, 51, 118
25, 51, 360
6.5, 51, 1290
106, 52, 52
24, 53, 610
18.5, 53, 1422
232.5, 54, 54
6, 54, 866
18.5, 54, 1200
11, 54, 1666
25.5, 54, 1866
17.5, 55, 136
12, 55, 666
14.5, 55, 1046
20.5, 55, 1194
4, 55, 1764
149, 56, 56
7, 56, 1168
24, 57, 806
20, 57, 814
16, 57, 960
1, 57, 1106
6, 57, 1544
9, 57, 2008
24.5, 58, 4
234.5, 58, 58
24.5, 58, 208
7, 58, 926
24, 58, 1998
222, 60, 60
17, 60, 108
18.5, 60, 726
4, 60, 1312
17, 60, 1576
21, 60, 1628
21, 61, 284
22, 61, 366
6.5, 61, 414
1.5, 61, 1292
23, 61, 1754
222, 62, 62
12.5, 62, 1516
12.5, 62, 1802
1, 62, 1880
18, 62, 1948
13, 63, 654
160.5, 64, 64
18.5, 64, 754
7, 64, 1448
12.5, 64, 1554
2.5, 65, 1942
225, 66, 66
3, 66, 944
23, 66, 1378
13, 66, 1590
24.5, 66, 1614
1, 67, 184
18.5, 67, 528
9.5, 67, 1804
191, 68, 68
21.5, 68, 698
18.5, 68, 988
16.5, 69, 1682
24.5, 69, 1746
11.5, 69, 1950
274.5, 70, 70
23.5, 70, 968
20, 70, 1576
15.5, 70, 1718
20.5, 70, 1790
10.5, 71, 482
18, 71, 818
176, 72, 72
4.5, 72, 678
22.5, 72, 1064
20, 72, 1276
9.5, 72, 1384
8, 72, 1940
2, 73, 386
11.5, 73, 518
9, 73, 1514
19, 73, 1806
229.5, 74, 74
6, 74, 766
11, 74, 986
15.5, 74, 1322
9, 75, 1272
277, 76, 76
15.5, 76, 156
6, 76, 166
25.5, 76, 386
20, 76, 866
24.5, 76, 1740
18, 77, 188
20.5, 77, 332
7.5, 77, 1144
21, 77, 1820
5.5, 77, 1856
268.5, 78, 78
23, 78, 884
13, 78, 1856
24.5, 78, 1982
17, 79, 796
2.5, 79, 856
2.5, 79, 1078
21, 79, 1940
249.5, 80, 80
12.5, 80, 108
24.5, 80, 1410
25, 80, 2006
23.5, 81, 528
23.5, 81, 1554
11, 82, 42
6.5, 82, 66
230.5, 82, 82
20, 82, 312
10.5, 82, 410
20.5, 82, 1014
8, 82, 1726
25.5, 83, 314
1.5, 83, 1242
146.5, 84, 84
8, 85, 368
21, 85, 1414
18, 85, 1648
4, 85, 1780
198.5, 86, 86
14.5, 86, 286
3, 86, 470
10, 86, 884
3, 86, 950
1, 86, 994
9.5, 86, 1764
16, 87, 844
14, 87, 1216
190.5, 88, 88
4.5, 88, 1296
22.5, 88, 1716
22.5, 89, 106
171.5, 90, 90
12.5, 90, 676
22, 90, 692
17.5, 90, 1556
7.5, 91, 584
22.5, 91, 1346
22.5, 92, 64
256, 92, 92
2.5, 92, 954
8, 93, 32
15, 93, 318
7.5, 93, 448
1.5, 93, 1170
20, 93, 1278
13.5, 93, 1860
155.5, 94, 94
7.5, 94, 728
11.5, 94, 1548
10.5, 94, 1958
3, 95, 1596
162, 96, 96
23, 96, 338
